Rack,Position,ID,Date,Treatment,Alive.Dead,Notes
2,40,138,9/8/2014,Control,Dead,
2,41,139,9/8/2014,Treatment,Alive,
2,42,140,9/8/2014,Treatment,Dead,
2,43,141,9/8/2014,Treatment,Dead,
2,44,142,9/8/2014,Control,Alive,
2,45,143,9/8/2014,Control,Alive,
2,46,144,9/8/2014,Control,Dead,
2,47,145,9/8/2014,Treatment,Dead,
2,48,146,9/8/2014,Treatment,Dead,
2,49,147,9/8/2014,Treatment,Dead,
2,50,148,9/8/2014,Control,Alive,
2,51,149,9/8/2014,Treatment,Dead,
2,52,150,9/8/2014,Control,Alive,
2,53,151,9/8/2014,Treatment,Dead,
2,54,152,9/8/2014,Control,Dead,dicot seedling
2,55,153,9/8/2014,Treatment,Dead,
2,56,154,9/8/2014,Treatment,Dead,
2,57,155,9/8/2014,Treatment,Dead,
2,58,156,9/8/2014,Treatment,Alive,
2,59,157,9/8/2014,Control,Dead,
2,60,158,9/8/2014,Treatment,Dead,
2,61,159,9/8/2014,Control,Dead,
2,62,160,9/8/2014,Treatment,Dead,
2,63,161,9/8/2014,Control,Alive,
2,64,162,9/8/2014,Control,Dead,
2,65,163,9/8/2014,Control,Dead,
2,66,164,9/8/2014,Treatment,Dead,
2,67,165,9/8/2014,Control,Alive,
2,68,166,9/8/2014,Control,Alive,
2,69,167,9/8/2014,Control,Dead,
2,70,168,9/8/2014,Treatment,Dead,
2,71,169,9/8/2014,Treatment,Dead,
2,72,170,9/8/2014,Control,Alive,
2,73,171,9/8/2014,Treatment,Dead,
2,74,172,9/8/2014,Treatment,Dead,
2,75,173,9/8/2014,Treatment,Dead,
2,76,174,9/8/2014,Control,Dead,
2,77,175,9/8/2014,NA,NA,cone gone
2,78,176,9/8/2014,Treatment,Dead,
2,79,177,9/8/2014,Control,Dead,
2,80,178,9/8/2014,Control,Alive,
2,81,179,9/8/2014,Control,Dead,
2,82,180,9/8/2014,Treatment,Dead,
2,83,181,9/8/2014,Treatment,Dead,
2,84,182,9/8/2014,Control,Alive,
2,85,183,9/8/2014,Treatment,Dead,
2,86,184,9/8/2014,Treatment,Dead,
2,87,185,9/8/2014,Control,Dead,dicot seedling
2,88,186,9/8/2014,Treatment,Dead,
2,89,187,9/8/2014,Control,Dead,dicot seedling
2,90,188,9/8/2014,NA,NA,cone gone
2,91,189,9/8/2014,Control,Dead,
2,92,190,9/8/2014,Treatment,Dead,
2,93,191,9/8/2014,Treatment,Dead,
2,94,192,9/8/2014,Treatment,Dead,
2,95,193,9/8/2014,Control,Alive,
2,96,194,9/8/2014,Treatment,Dead,
2,97,195,9/8/2014,Control,Dead,
2,98,196,9/8/2014,Treatment,Dead,
3,1,197,9/8/2014,Treatment,Dead,
3,2,198,9/8/2014,Treatment,Dead,
3,3,199,9/8/2014,Treatment,Dead,
3,4,200,9/8/2014,Treatment,Dead,
3,5,201,9/8/2014,Treatment,Dead,
3,6,202,9/8/2014,Treatment,Dead,
3,7,203,9/8/2014,Control,Alive,
3,8,204,9/8/2014,Treatment,Dead,
3,9,205,9/8/2014,Control,Alive,
3,10,206,9/8/2014,Control,Alive,
3,11,207,9/8/2014,Control,Alive,
3,12,208,9/8/2014,Treatment,Dead,
3,13,209,9/8/2014,Treatment,Dead,
3,14,210,9/8/2014,Treatment,Dead,
3,15,211,9/8/2014,Control,Dead,
3,16,212,9/8/2014,Control,Dead,
3,17,213,9/8/2014,Control,Alive,
3,18,214,9/8/2014,Control,Dead,dicot seedling
3,19,215,9/8/2014,Control,Alive,
3,20,216,9/8/2014,Treatment,Dead,
3,21,217,9/8/2014,Control,Alive,
3,22,218,9/8/2014,Control,Alive,
3,23,219,9/8/2014,Control,Alive,
3,24,220,9/8/2014,Control,Dead,
3,25,221,9/8/2014,Treatment,Dead,
3,26,222,9/8/2014,Treatment,Dead,
3,27,223,9/8/2014,Treatment,Dead,
3,28,224,9/8/2014,Treatment,Dead,
3,29,225,9/8/2014,Treatment,Dead,
3,30,226,9/8/2014,Treatment,Dead,
3,31,227,9/8/2014,Control,Alive,
3,32,228,9/8/2014,Treatment,Dead,
3,33,229,9/8/2014,Control,Alive,
3,34,230,9/8/2014,NA,NA,cone gone
3,35,231,9/8/2014,Treatment,Dead,
3,36,232,9/8/2014,Treatment,Dead,
3,37,233,9/8/2014,Treatment,Dead,
3,38,234,9/8/2014,Control,Alive,
3,39,235,9/8/2014,Treatment,Dead,
3,40,236,9/8/2014,Control,Alive,
3,41,237,9/8/2014,Control,Alive,
3,42,238,9/8/2014,Control,Alive,
3,43,239,9/8/2014,Treatment,Dead,
3,44,240,9/8/2014,Control,Alive,
3,45,241,9/8/2014,Control,Alive,
3,46,242,9/8/2014,Treatment,Dead,
3,47,243,9/8/2014,Treatment,Dead,
3,48,244,9/8/2014,Treatment,Dead,
3,49,245,9/8/2014,Treatment,Dead,
3,50,246,9/8/2014,Treatment,Dead,
3,51,247,9/8/2014,Control,Alive,
3,52,248,9/8/2014,Control,Alive,
3,53,249,9/8/2014,Control,Dead,
3,54,250,9/8/2014,Control,Alive,
3,55,251,9/8/2014,Control,Alive,
